record_type,analysis_family,surface,group,arm,left_arm,right_arm,condition,query_family,stratum,metric,value_pct,estimate_pp,ci95_lower_pp,ci95_upper_pp,row_count,history_cluster_count,bootstrap_samples,bootstrap_seed,source_file
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_4096,,,token_distance_4096,,,f1,9.24,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_4096,,,token_distance_8192,,,exact_match,0.00,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,sliding_context_4096,,,token_distance_8192,,,f1,2.92,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_16384,,,delayed_probe,,,exact_match,47.92,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_16384,,,delayed_probe,,,f1,48.96,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_16384,,,post_update,,,exact_match,60.42,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_16384,,,post_update,,,f1,65.56,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_16384,,,pre_update,,,exact_match,97.92,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_16384,,,pre_update,,,f1,97.92,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_16384,,,token_distance_4096,,,exact_match,52.08,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_16384,,,token_distance_4096,,,f1,55.56,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_16384,,,token_distance_8192,,,exact_match,52.08,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_16384,,,token_distance_8192,,,f1,55.00,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_4096,,,delayed_probe,,,exact_match,72.92,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_4096,,,delayed_probe,,,f1,72.92,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_4096,,,post_update,,,exact_match,64.58,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_4096,,,post_update,,,f1,70.62,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_4096,,,pre_update,,,exact_match,85.42,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_4096,,,pre_update,,,f1,85.42,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_4096,,,token_distance_4096,,,exact_match,35.42,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_4096,,,token_distance_4096,,,f1,37.99,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_4096,,,token_distance_8192,,,exact_match,45.83,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition,structured_memory_4096,,,token_distance_8192,,,f1,46.88,,,,48,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,delayed_probe,preference_change,,exact_match,0.00,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,delayed_probe,preference_change,,f1,0.00,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,delayed_probe,preference_incongruity,,exact_match,50.00,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,delayed_probe,preference_incongruity,,f1,64.44,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,post_update,preference_change,,exact_match,50.00,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,post_update,preference_change,,f1,52.08,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,post_update,preference_incongruity,,exact_match,70.83,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,post_update,preference_incongruity,,f1,83.19,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,pre_update,preference_change,,exact_match,83.33,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,pre_update,preference_change,,f1,83.33,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,pre_update,preference_incongruity,,exact_match,100.00,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,pre_update,preference_incongruity,,f1,100.00,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,token_distance_4096,preference_change,,exact_match,16.67,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,token_distance_4096,preference_change,,f1,18.06,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,token_distance_4096,preference_incongruity,,exact_match,83.33,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,token_distance_4096,preference_incongruity,,f1,89.86,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,token_distance_8192,preference_change,,exact_match,12.50,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,token_distance_8192,preference_change,,f1,15.56,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
absolute,matched_eight_arm,pooled_A_B,by_arm_condition_query_family,graphiti_memory_16384,,,token_distance_8192,preference_incongruity,,exact_match,87.50,,,,24,12,,,results/persona_joint_kimi_ab_a100_build1/analysis/analysis.json
